Company,Ticker,Sector,Index,fr_id,match_method,fr_id,match_method
Persimmon,PSN,Household Goods & Home Construction,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Polar Capital Technology Trust,PCT,Investment Trusts,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Prudential plc,PRU,Life Insurance,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Reckitt,RKT,Household Goods & Home Construction,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
RELX,REL,Media,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Rentokil Initial,RTO,Support Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Rightmove,RMV,Media,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Rio Tinto,RIO,Mining,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Rolls-Royce Holdings,RR,Aerospace & Defence,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Sage Group,SGE,Software & Computer Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Sainsbury's,SBRY,Food & Drug Retailing,FTSE 100,5234,manual,5234,manual
Schroders,SDR,Financial Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Scottish Mortgage Investment Trust,SMT,Collective Investments,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Segro,SGRO,Real Estate Investment Trusts,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Severn Trent,SVT,Multiline Utilities,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Shell plc,SHEL,Oil & Gas Producers,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Smiths Group,SMIN,General Industrials,FTSE 100,4613,api_name,4613,api_name
Smith & Nephew,SN,Health Care Equipment & Supplies,FTSE 100,4588,api_name,4588,api_name
SSE plc,SSE,Electrical Utilities & Independent Power Producers,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Standard Chartered,STAN,Banks,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
St. James's Place,STJ,Financial Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Tesco,TSCO,Food & Drug Retailing,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Tritax Big Box REIT,BBOX,Real Estate Investment Trusts,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Unilever,ULVR,Personal Goods,FTSE 100,4591,api_name,4591,api_name
United Utilities,UU,Multiline Utilities,FTSE 100,4878,api_name,4878,api_name
Vodafone Group,VOD,Mobile Telecommunications,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Weir Group,WEIR,Industrial Goods and Services,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Whitbread,WTB,Retail Hospitality,FTSE 100,found_in_meta,meta_ticker,found_in_meta,meta_ticker
4imprint,FOUR,Media,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Aberdeen Asia Focus,AAS,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
abrdn,ABDN,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Aberforth Smaller Companies Trust,ASL,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
AEP Plantations,AEP,Food Producers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Alfa Financial Software,ALFA,Software and Computer Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Allianz Technology Trust,ATT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
AO World,AO,Retail,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Applied Nutrition,APN,Food Producers,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Ashmore Group,ASHM,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Ashoka India Equity Investment Trust,AIE,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Aston Martin Lagonda,AML,Automobiles & Parts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
AVI Global Trust,AGT,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Avon Technologies,AVON,Industrial Goods and Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Baillie Gifford Japan Trust,BGFD,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Baillie Gifford US Growth Trust,USA,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Balfour Beatty,BBY,Construction & Materials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Baltic Classifieds,BCG,Consumer Digital Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Bankers Investment Trust,BNKR,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
A.G. Barr,BAG,Beverages,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
AJ Bell,AJB,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Bellway,BWY,Home Construction,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Big Yellow Group,BYG,Real Estate Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Biopharma Credit,BPCR,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
BlackRock Greater Europe Investment Trust,BRGE,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
BlackRock Smaller Companies Trust,BRSC,Equity Investments,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
BlackRock Throgmorton Trust,THRG,Equity Investments,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
BlackRock World Mining Trust,BRWM,Investment Trusts,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Bodycote,BOY,Industrial Engineering,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Breedon Group,BREE,Construction & Materials,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
Bridgepoint Group,BPT,Financial Services,FTSE 250,found_in_meta,meta_ticker,found_in_meta,meta_ticker
