Company,Ticker,Sector,Index
Baillie Gifford US Growth Trust,USA,Investment Trusts,FTSE 250
Balfour Beatty,BBY,Construction & Materials,FTSE 250
Baltic Classifieds,BCG,Consumer Digital Services,FTSE 250
Bankers Investment Trust,BNKR,Investment Trusts,FTSE 250
A.G. Barr,BAG,Beverages,FTSE 250
AJ Bell,AJB,Financial Services,FTSE 250
Bellway,BWY,Home Construction,FTSE 250
BH Macro,BHMG,Hedge Funds,FTSE 250
Big Yellow Group,BYG,Real Estate Investment Trusts,FTSE 250
Biopharma Credit,BPCR,Investment Trusts,FTSE 250
BlackRock Greater Europe Investment Trust,BRGE,Investment Trusts,FTSE 250
BlackRock Smaller Companies Trust,BRSC,Equity Investments,FTSE 250
BlackRock Throgmorton Trust,THRG,Equity Investments,FTSE 250
BlackRock World Mining Trust,BRWM,Investment Trusts,FTSE 250
Bluefield Solar Income Fund,BSIF,Investment Trusts,FTSE 250
Bodycote,BOY,Industrial Engineering,FTSE 250
Breedon Group,BREE,Construction & Materials,FTSE 250
Bridgepoint Group,BPT,Financial Services,FTSE 250
Brunner Investment Trust,BUT,Investment Trusts,FTSE 250
Bytes Technology Group,BYIT,Software & Computer Services,FTSE 250
C&C Group,CCR,Food & Tobacco,FTSE 250
Caledonia Investments,CLDN,Investment Trusts,FTSE 250
Capital Gearing Trust,CGT,Investment Trusts,FTSE 250
Carnival Corporation & plc,CCL,Travel & Leisure,FTSE 250
Ceres Power,CWR,Alternative Energy,FTSE 250
Chemring Group,CHG,Aerospace & Defence,FTSE 250
Chesnara,CSN,Life Insurance,FTSE 250
Chrysalis Investments,CHRY,Investment Trusts,FTSE 250
City of London Investment Trust,CTY,Investment Trusts,FTSE 250
Clarkson,CKN,Industrial Transportation,FTSE 250
Close Brothers Group,CBG,Financial Services,FTSE 250
CMC Markets,CMCX,Financial Services,FTSE 250
Coats Group,COA,Consumer Staples,FTSE 250
Computacenter,CCC,Software & Computer Services,FTSE 250
Costain Group,COST,Engineering and Construction,FTSE 250
Cranswick,CWK,Food Producers,FTSE 250
Currys,CURY,Retailers,FTSE 250
Derwent London,DLN,Real Estate Investment Trusts,FTSE 250
discoverIE,DSCV,Support Services,FTSE 250
Domino's Pizza,DOM,Travel & Leisure,FTSE 250
Drax Group,DRX,Electricity,FTSE 250
Dr. Martens,DOCS,Retailers,FTSE 250
Dunelm Group,DNLM,Retailers,FTSE 250
Edinburgh Investment Trust,EDIN,Investment Trusts,FTSE 250
Edinburgh Worldwide Investment Trust,EWI,Investment Trusts,FTSE 250
Elementis,ELM,Chemicals,FTSE 250
Energean,ENOG,Oil & Gas Producers,FTSE 250
European Smaller Companies Trust,ESCT,Investment Trusts,FTSE 250
Fidelity China Special Situations,FCSS,Investment Trusts,FTSE 250
Fidelity Emerging Markets,FEML,Investment Trusts,FTSE 250
Fidelity European Trust,FEV,Investment Trusts,FTSE 250
Fidelity Special Values,FSV,Investment Trusts,FTSE 250
Finsbury Growth & Income Trust,FGT,Equity Investments,FTSE 250
FirstGroup,FGP,Travel & Leisure,FTSE 250
Foresight Environmental Infrastructure,FGEN,Investment Trusts,FTSE 250
Foresight Group,FSG,Investment Banking and Brokerage Services,FTSE 250
Frasers Group,FRAS,Retailers,FTSE 250
Funding Circle,FCH,Financial Services,FTSE 250
Future,FUTR,Media,FTSE 250
Galliford Try,GFRD,Construction,FTSE 250
Gamma Communications,GAMA,Telecommunications,FTSE 250
GB Group,GBG,Software and Computer Services,FTSE 250
GCP Infrastructure Investments,GCP,General Financial,FTSE 250
Genuit Group,GEN,Construction & Materials,FTSE 250
Genus,GNS,Pharmaceuticals & Biotechnology,FTSE 250
Global Smaller Companies Trust,GSCT,Investment Trusts,FTSE 250
Goodwin,GDWN,General Industrials,FTSE 250
Grafton Group,GFTU,Support Services,FTSE 250
Grainger,GRI,Real Estate Investment & Services,FTSE 250
Great Portland Estates,GPE,Real Estate Investment Trusts,FTSE 250
Greencoat UK Wind,UKW,Gas Water & Multiutilities,FTSE 250
Greencore,GNC,Food Beverage and Tobacco,FTSE 250
Greggs,GRG,Food & Drug Retailers,FTSE 250
Hammerson,HMSO,Real Estate Investment Trusts,FTSE 250
Harbour Energy,HBR,Oil & Gas Producers,FTSE 250
HarbourVest Global Private Equity,HVPE,Equity Investments,FTSE 250
Harworth Group,HWG,Real Estate,FTSE 250
Hays,HAS,Support Services,FTSE 250
Helios Towers,HTWS,Telecomms,FTSE 250
Henderson Smaller Companies Investment Trust,HSL,Investment Trusts,FTSE 250
Herald Investment Trust,HRI,Investment Trusts,FTSE 250
Hg Capital Trust,HGT,Investment Trusts,FTSE 250
HICL Infrastructure Company,HICL,Investment Trusts,FTSE 250
Hill & Smith,HILS,Industrial Engineering,FTSE 250
Hilton Food Group,HFG,Food Producers,FTSE 250
Hochschild Mining,HOC,Basic Resources,FTSE 250
Hollywood Bowl Group,BOWL,Travel and Leisure,FTSE 250
Hunting,HTG,Oil Gas and Coal,FTSE 250
Ibstock,IBST,Construction & Materials,FTSE 250
ICG Enterprise Trust,ICGT,Investment Trusts,FTSE 250
IG Group Holdings,IGG,Financial Services,FTSE 250
Impax Environmental Markets,IEM,Investment Trusts,FTSE 250
Inchcape,INCH,Retailers,FTSE 250
IntegraFin Holdings,IHP,Financial Services,FTSE 250
International Personal Finance,IPF,Financial Services,FTSE 250
International Public Partnerships,INPP,Financial Services,FTSE 250
International Workplace Group,IWG,Support Services,FTSE 250
Invesco Asia Dragon Trust,IAD,Investment Trusts,FTSE 250
Investec,INVP,Financial Services,FTSE 250
IP Group,IPO,Financial Services,FTSE 250
Ithaca Energy,ITH,Oil & Gas Producers,FTSE 250
ITV,ITV,Media,FTSE 250
Johnson Matthey,JMAT,Chemicals,FTSE 250
Johnson Service Group,JSG,Industrial Support Services,FTSE 250
JPMorgan American Investment Trust,JAM,Investment Trusts,FTSE 250
JPMorgan Emerging Markets Dividend Income,JEMI,Investment Trusts,FTSE 250
JPMorgan Emerging Markets Growth & Income,JMG,Investment Trusts,FTSE 250
JPMorgan European Discovery,JEDT,Investment Trusts,FTSE 250
JPMorgan European Growth & Income,JEGI,Investment Trusts,FTSE 250
