id,lei,name,ticker,country_code,market_segment,stock_indices,listed_exchanges,date_ipo,is_listed
4652,213800V93QFW53NB7Y29,Bodycote PLC,BOY,GB,FTSE 350,FTSE 250,London Stock Exchange,1972-01-28,True
4622,213800LH1BZH3DI6G760,BP PLC,BP,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1954-03-29,True
5352,213800KFNMVI8PDZX472,Bridgepoint Group PLC,BPT,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2021-07-21,True
4637,213800FKA5MF17RJKT63,British American Tobacco PLC,BATS,GB,FTSE 350,FTSE 100|STOXX Europe 600,Johannesburg Stock Exchange Limited|London Stock Exchange,1962-01-29,True
5364,RV5B68J2GV3QGMRPW209,British Land Co PLC,BLND,GB,FTSE 350,FTSE 100|FTSE 250|STOXX Europe 600,London Stock Exchange,2006-08-30,True
4843,635400L3NVMYD4BVCI53,Britvic PLC,BVIC,GB,FTSE 350,FTSE 250,London Stock Exchange,2005-12-14,True
4681,213800LRO7NS5CYQMN21,BT Group PLC,BT,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1984-12-03,True
4627,213800Q1Q9DV4L78UM09,Bunzl PLC,BNZL,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1957-06-20,True
4822,213800PE1KEFCNFR1R50,Burberry Group PLC,BRBY,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2002-07-18,True
5048,213800LA4DZLFBAC9O33,Bytes Technology Group PLC,BYIT,GB,FTSE 350,FTSE 250,Johannesburg Stock Exchange Limited|London Stock Exchange,2020-12-11,True
4633,2138002FX1MYCA5ZZH32,Caledonia Investments PLC,CLDN,GB,FTSE 350,FTSE 250,London Stock Exchange,1960-06-01,True
4657,213800T2PJTPVF1UGW53,Capital Gearing Trust PLC,CGT,GB,FTSE 350,FTSE 250,London Stock Exchange,1973-02-09,True
5279,CMIGEWPLHL4M7ZV0IZ88,Capita PLC,CPI,GB,FTSE 350,FTSE 250,London Stock Exchange,1991-08-21,True
4799,4DR1VPDQMHD3N3QW8W95,Carnival PLC,CCL,GB,FTSE 350,FTSE 250|STOXX Europe 600,London Stock Exchange,2000-10-23,True
5292,E26EDV109X6EEPBKVH76,Centrica PLC,CNA,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,1997-02-17,True
5264,213800U9A54VQJ5P2J41,Chemring Group PLC,CHG,GB,FTSE 350,FTSE 250,London Stock Exchange,1974-06-07,True
4624,213800F3NOTF47H6AO55,City of London Investment Trust PLC,CTY,GB,FTSE 350,FTSE 250,London Stock Exchange,1955-05-04,True
4689,2138007G6BGTEHI3OT22,Clarkson PLC,CKN,GB,FTSE 350,FTSE 250,London Stock Exchange,1986-06-30,True
5137,213800W73SYHR14I3X91,Close Brothers Group PLC,CBG,GB,FTSE 350,FTSE 250,London Stock Exchange,2003-10-31,True
4729,213800A357TKB2TD9U78,CLS Holdings PLC,CLI,GB,FTSE 350,FTSE 250,London Stock Exchange,1994-05-27,True
4944,213800VB75KAZBFH5U07,CMC Markets PLC,CMCX,GB,FTSE 350,FTSE 250,London Stock Exchange,2016-02-05,True
4606,2138003SPYWGAITNFY17,Coats Group PLC,COA,GB,FTSE 350,FTSE 250,London Stock Exchange,1948-01-07,True
4807,2138008M6MH9OZ6U2T68,Compass Group PLC,CPG,GB,FTSE 350,FTSE 100|STOXX Europe 600,London Stock Exchange,2001-02-02,True
